Title,SKU,Sale_Price,Regular_Price,Availability,Link,Date
Amitayus: The Buddha of Infinite Life and Light,ATBP 113,,,Sold Out,https://nidhiratna.com/products/amitayus-the-buddha-of-infinite-life-statue,2025-06-10
Crowned Buddha Sakyamuni: The Regal Sage of Enlightenment,CBSBP 114,$2191.50,$2435.00,Available,https://nidhiratna.com/products/crowned-buddha-sakyamuni-statue,2025-06-10
Chenrezig: The Embodiment of Compassion in Tibetan Buddhism,CHBP 115,$2619.00,$2910.00,Available,https://nidhiratna.com/products/chenrezig-the-embodiment-of-compassion-statue,2025-06-10
Buddha Shakyamuni: Light of Liberation,BSBP 116,$2619.00,$2910.00,Available,https://nidhiratna.com/products/buddha-shakyamuni-statue,2025-06-10
"Guru Rinpoche: The Second Buddha, Vajrayana Buddhism",GRBP 117,$2974.50,$3305.00,Available,https://nidhiratna.com/products/guru-rinpoche-the-second-buddha-statue,2025-06-10
Buddha Shakyamuni: The Founder of Buddhism,BSBP 126,$882.00,$980.00,Available,https://nidhiratna.com/products/buddha-shakyamuni-gautama-buddha-statues,2025-06-10
Vajrasattva: Purification and Transformation,VSBP 127,$1246.50,$1385.00,Available,https://nidhiratna.com/products/vajrasattva-purification-deity-statue,2025-06-10
White Tara: The Compassionate Mother,WTBP 128,$679.50,$755.00,Available,https://nidhiratna.com/products/white-tara-the-compassionate-mother,2025-06-10
Manjushri: The Radiant Sage of Enlightenment,MSBP 129,,,Sold Out,https://nidhiratna.com/products/manjushri-the-radiant-sage-of-enlightenment-statue,2025-06-10
Dzambhala: Bodhisattva of Wealth and Prosperity,DZBP 130,$661.50,$735.00,Available,https://nidhiratna.com/products/dzambhala-bodhisattva-of-wealth-statue,2025-06-10
Chenrezig: The Compassionate Bodhisattva,CHBP 131,$661.50,$735.00,Available,https://nidhiratna.com/products/chenrezig-the-compassionate-bodhisattva-statue,2025-06-10
Green Tara: The Ever-Compassionate Savior,GTBP 132,,,Sold Out,https://nidhiratna.com/products/green-tara-the-ever-compassionate-savior-statue,2025-06-10
Chenrezig: The Bodhisattva of Infinite Compassion,133 CHBP,,,Sold Out,https://nidhiratna.com/products/chenrezig-the-bodhisattva-of-compassion-statues-altars,2025-06-10
Green Tara: The Divine Mother of Liberation,GTBP 134,,,Sold Out,https://nidhiratna.com/products/green-tara-the-divine-mother-statue,2025-06-10
White Tara: Goddess of Peace and Healing,WTBP 135,$661.50,$735.00,Available,https://nidhiratna.com/products/white-tara-goddess-of-peace-statue,2025-06-10
Dzambhala: Guardian of Wealth and Fortune,DZBP 136,$850.50,$945.00,Available,https://nidhiratna.com/products/dzambhala-guardian-of-wealth-and-fortune-statue,2025-06-10
Six-Armed Mahakala: Guardian of Wisdom and Protector of Devotees,SAMBP 137,$3654.00,$4060.00,Available,https://nidhiratna.com/products/six-armed-mahakala-guardian-of-wisdom-statue,2025-06-10
Dzambhala: The Wealth Bestower,DZBP 138,,,Sold Out,https://nidhiratna.com/products/dzambhala-the-wealth-bestower-statue,2025-06-10
Vajrasattva: Purification of the Mind,VSBP 139,$1435.50,$1595.00,Available,https://nidhiratna.com/products/vajrasattva-purification-of-the-mind-statue,2025-06-10
Amitabha: The Buddha of Infinite Light,ABBP 141,$859.50,$955.00,Available,https://nidhiratna.com/products/amitabha-the-buddha-of-infinite-light-statue,2025-06-10
Amitayus: The Buddha of Eternal Life,ATBP 142,$756.00,$840.00,Available,https://nidhiratna.com/products/amitayus-the-buddha-of-eternal-life-statue,2025-06-10
Buddha Shakyamuni: The One Who Achieved Enlightenment,BSBP 123,$2011.50,$2235.00,Available,https://nidhiratna.com/products/buddha-shakyamuni-statue-1,2025-06-10
Buddha Shakyamuni: The Enlightened One,BSBR 179,,,Sold Out,https://nidhiratna.com/products/buddha-shakyamuni-statue-gautama-buddha,2025-06-10
Radiant Serenity: The Golden Amitayus,ATBR 180,$1529.10,$1699.00,Available,https://nidhiratna.com/products/radiant-serenity-the-golden-amitayus-statue,2025-06-10
Wisdom's Radiance: The Manjushri Statue,MSBR 181,$1529.10,$1699.00,Available,https://nidhiratna.com/products/wisdoms-radiance-the-manjushri-statue,2025-06-10
Emerald Grace: The Statue of Green Tara,GTBR 182,$1529.10,$1699.00,Available,https://nidhiratna.com/products/emerald-grace-the-green-tara-statue,2025-06-10
Golden Radiance: The Vajrasattva Statue,VSBR 183,$1529.10,$1699.00,Available,https://nidhiratna.com/products/golden-radiance-the-vajrasattva-statue,2025-06-10
Eternal Essence: The Oxidized Copper Amitayus,ATBR 184,$1349.10,$1499.00,Available,https://nidhiratna.com/products/eternal-essence-the-oxidized-copper-amitayus-statue,2025-06-10
Eternal Compassion: The Oxidized Copper Four-Armed Chenrezig,CHBR 185,$1349.10,$1499.00,Available,https://nidhiratna.com/products/eternal-compassion-the-oxidized-copper-chenrezig,2025-06-10
Verdant Grace: The Oxidized Copper Green Tara,GTBR 186,$1349.10,$1499.00,Available,https://nidhiratna.com/products/verdant-grace-the-oxidized-copper-green-tara,2025-06-10
Transcendent Patina: The Oxidized Copper Vajrasattva,VSBR 187,$1349.10,$1499.00,Available,https://nidhiratna.com/products/transcendent-patina-the-oxidized-copper-statue,2025-06-10
"White Tara, the Goddess of Compassion and Healing",WTBR 188,$1349.10,$1499.00,Available,https://nidhiratna.com/products/white-tara-the-goddess-of-compassion-and-healing,2025-06-10
Radiant Vajrasattva Statue,VSBR 189,$1529.10,$1699.00,Available,https://nidhiratna.com/products/radiant-vajrasattva-statue,2025-06-10
White Tara: The Mother of Liberation,WTBR 190,$1529.10,$1699.00,Available,https://nidhiratna.com/products/white-tara-the-mother-of-liberation-statue,2025-06-10
Green Tara: Guardian of Compassion,GTBR 191,$1529.10,$1699.00,Available,https://nidhiratna.com/products/green-tara-guardian-of-compassion-statue,2025-06-10
Illuminated Manjushri Statue,MSBR 192,$1529.10,$1699.00,Available,https://nidhiratna.com/products/lluminated-manjushri-statue,2025-06-10
Guru Rinpoche Statue: Icon of Enlightened Compassion,GRBR 193,$1458.00,$1620.00,Available,https://nidhiratna.com/products/guru-rinpoche-statue-icon-of-enlightened-compassion,2025-06-10
Enchanting Kurukulla Statue,KKBR 194,$1143.00,$1270.00,Available,https://nidhiratna.com/products/enchanting-kurukulla-statue,2025-06-10
Majestic Mahakala Bernagchen Statue,MBBR 195,$949.50,$1055.00,Available,https://nidhiratna.com/products/majestic-mahakala-bernagchen-statue,2025-06-10
Magnificent Singha Mukha Statue,SMBR 196,$1143.00,$1270.00,Available,https://nidhiratna.com/products/magnificent-singha-mukha-statue,2025-06-10
The Timeless Beauty of the Oxidized Green Tara Statue,GTBR 197,$949.50,$1055.00,Available,https://nidhiratna.com/products/the-timeless-beauty-of-the-oxidized-green-tara-statue,2025-06-10
Exquisite Chenrezig Statue,CHBR 198,$949.50,$1055.00,Available,https://nidhiratna.com/products/exquisite-chenrezig-statue,2025-06-10
Crafting Serenity: The Green Tara Statue,GTBR 199,$2997.00,$3330.00,Available,https://nidhiratna.com/products/crafting-serenity-the-green-tara-statue,2025-06-10
Chenrezig: The Bodhisattva of Boundless Compassion,CHBP 143,,,Sold Out,https://nidhiratna.com/products/chenrezig-the-bodhisattva-statue,2025-06-10
Green Tara: The Compassionate Savior,GTBP 144,,,Sold Out,https://nidhiratna.com/products/green-tara-the-compassionate-savior-statue,2025-06-10
Manjushri: The Radiant Dispeller of Ignorance,MSBP 145,,,Sold Out,https://nidhiratna.com/products/manjushri-the-radiant-dispeller-of-ignorance,2025-06-10
Amitayus Buddha: Guardian of Immeasurable Lifespan,ATBP 147,$756.00,$840.00,Available,https://nidhiratna.com/products/amitayus-buddha-statue-budhha,2025-06-10
The Golden Throne: Symbol of Divine Sovereignty,THBP 148,$1044.00,$1160.00,Available,https://nidhiratna.com/products/the-golden-throne-symbol-of-divine-sovereign,2025-06-10
Amitabha Buddha: Enthroned in Infinite Light,ABBP 149,$1719.00,$1910.00,Available,https://nidhiratna.com/products/amitabha-buddha-enthroned-statue,2025-06-10
Amitayus Buddha: Eternal Radiance on the Golden Seat,ATBP 150,$1719.00,$1910.00,Available,https://nidhiratna.com/products/amitayus-buddha-eternal-statue,2025-06-10
Chenrezig on the Lotus Throne: Symbolism and Devotion,CHBP 151,$1719.00,$1910.00,Available,https://nidhiratna.com/products/chenrezig-on-the-lotus-throne-statue,2025-06-10
Green Tara on the Throne: Guardian of Compassion and Protection,GTBP 152,,,Sold Out,https://nidhiratna.com/products/green-tara-mother-tara-statue-1,2025-06-10
Manjushri on the Throne: The Embodiment of Wisdom and Enlightenment,MSBP 153,,,Sold Out,https://nidhiratna.com/products/manjushri-bodhisattva-statue,2025-06-10
Amitayus on the Lotus Throne: The Buddha of Infinite Life and Boundless Light,ATBP 154,$1719.00,$1910.00,Available,https://nidhiratna.com/products/amitayus-on-the-lotus-throne-statue,2025-06-10
